grid_x,grid_y,foot_traffic,count,foot_count,x_5179,y_5179,geometry,lat,lon
0,72,0.0208101353215147,1,384.4883332813064,956738.9228871616,1947396.2931122007,POINT (127.01040557360488 37.5248541104132),37.5248541104132,127.01040557360488
0,73,0.0195131834392076,1,360.5258332845493,956738.9228871616,1947496.2931122007,POINT (127.01039968311642 37.52575544021881),37.52575544021881,127.01039968311642
1,75,0.0173398700520065,2,320.37166662331686,956838.9228871616,1947696.2931122007,POINT (127.01151962487036 37.52756278582918),37.52756278582918,127.01151962487036
1,76,0.0486808103881267,4,899.4272915449633,956838.9228871616,1947796.2931122007,POINT (127.01151374721086 37.52846411537036),37.52846411537036,127.01151374721086
1,77,0.024339756830881,1,449.7016666058164,956838.9228871616,1947896.2931122007,POINT (127.01150786928953 37.529365444772864),37.529365444772864,127.01150786928953
2,70,0.0316283963814659,1,584.3666665875954,956938.9228871616,1947196.2931122007,POINT (127.01268066494903 37.52306081085738),37.52306081085738,127.01268066494903
2,71,0.0258954225367636,1,478.44416660192655,956938.9228871616,1947296.2931122007,POINT (127.01267480221162 37.523962141243295),37.523962141243295,127.01267480221162
2,73,0.0389284471240599,1,719.2424999026781,956938.9228871616,1947496.2931122007,POINT (127.01266307595331 37.52576480159907),37.52576480159907,127.01266307595331
2,74,0.0189607554560917,4,350.3191666192637,956938.9228871616,1947596.2931122007,POINT (127.01265721243242 37.52666613156894),37.52666613156894,127.01265721243242
2,75,0.0456812004095896,4,844.0064582191297,956938.9228871616,1947696.2931122007,POINT (127.01265134865031 37.52756746140012),37.52756746140012,127.01265134865031
2,76,0.0837905787823114,2,1548.1158331238555,956938.9228871616,1947796.2931122007,POINT (127.01264548460698 37.5284687910926),37.5284687910926,127.01264548460698
3,71,0.0462280468313966,1,854.1099998844281,957038.9228871616,1947296.2931122007,POINT (127.01380647179397 37.52396680536615),37.52396680536615,127.01380647179397
3,72,0.0229694215122145,2,424.3833332759089,957038.9228871616,1947396.2931122007,POINT (127.01380062240918 37.52486813576433),37.52486813576433,127.01380062240918
3,73,0.0375021232954564,3,692.8897221284655,957038.9228871616,1947496.2931122007,POINT (127.01379477276386 37.52576946602382),37.52576946602382,127.01379477276386
3,74,0.0558870570730881,3,1032.5699998602822,957038.9228871616,1947596.2931122007,POINT (127.01378892285791 37.52667079614462),37.52667079614462,127.01378892285791
3,75,0.0033026605679032,2,61.01999999174283,957038.9228871616,1947696.2931122007,POINT (127.01378307269144 37.52757212612675),37.52757212612675,127.01378307269144
3,76,0.0017526779062623,1,32.38249999561808,957038.9228871616,1947796.2931122007,POINT (127.01377722226432 37.528473455970186),37.528473455970186,127.01377722226432
3,78,0.0112713259758883,1,208.24916663848734,957038.9228871616,1947996.2931122007,POINT (127.01376552062824 37.530276115241),37.530276115241,127.01376552062824
4,72,0.0343082449143547,2,633.8795832475613,957138.9228871616,1947396.2931122007,POINT (127.0149323058659 37.52487278919489),37.52487278919489,127.0149323058659
4,73,0.0571023415048105,3,1055.0236109683551,957138.9228871616,1947496.2931122007,POINT (127.01492646983495 37.52577411960496),37.52577411960496,127.01492646983495
5,71,0.0376439438148537,1,695.5099999058897,957238.9228871616,1947296.2931122007,POINT (127.01606981173973 37.523976101083186),37.523976101083186,127.01606981173973
5,72,0.0560550376374075,3,1035.6736109709723,957238.9228871616,1947396.2931122007,POINT (127.01606398958256 37.52487743178218),37.52487743178218,127.01606398958256
5,73,0.0245122176787561,3,452.88805549427417,957238.9228871616,1947496.2931122007,POINT (127.01605816716604 37.52577876234248),37.52577876234248,127.01605816716604
5,74,0.0310448920691234,1,573.5858332557201,957238.9228871616,1947596.2931122007,POINT (127.01605234449015 37.52668009276413),37.52668009276413,127.01605234449015
6,70,0.0550826131399673,2,1017.7070831956268,957338.9228871616,1947196.2931122007,POINT (127.01720729038657 37.523079401689785),37.523079401689785,127.01720729038657
6,71,0.038430887579992,4,710.0495832372545,957338.9228871616,1947296.2931122007,POINT (127.01720148210192 37.52398073267733),37.52398073267733,127.01720148210192
6,72,0.0618673899287638,4,1143.0627081786643,957338.9228871616,1947396.2931122007,POINT (127.01719567355858 37.524882063526206),37.524882063526206,127.01719567355858
6,73,0.0184004456318548,4,339.9668749539971,957338.9228871616,1947496.2931122007,POINT (127.01718986475647 37.52578339423641),37.52578339423641,127.01718986475647
6,74,0.0264387283318011,4,488.4822916005696,957338.9228871616,1947596.2931122007,POINT (127.01718405569564 37.526684724807936),37.526684724807936,127.01718405569564
6,75,0.0238074675720026,2,439.86708327381325,957338.9228871616,1947696.2931122007,POINT (127.01717824637599 37.5275860552408),37.5275860552408,127.01717824637599
6,76,0.007161880601879,1,132.3229999820946,957338.9228871616,1947796.2931122007,POINT (127.01717243679758 37.528487385534994),37.528487385534994,127.01717243679758
6,77,0.0149713486054547,1,276.6108332959031,957338.9228871616,1947896.2931122007,POINT (127.01716662696037 37.5293887156905),37.5293887156905,127.01716662696037
6,80,0.0135281710927376,1,249.94666663284505,957338.9228871616,1948196.2931122007,POINT (127.0171491958959 37.532092705324985),37.532092705324985,127.0171491958959
6,81,0.0113895423168213,1,210.43333330485942,957338.9228871616,1948296.2931122007,POINT (127.0171433850234 37.532994034925785),37.532994034925785,127.0171433850234
7,66,0.2043242486601123,1,3775.097499489188,957438.9228871616,1946796.2931122007,POINT (127.01836212349885 37.51947869635653),37.51947869635653,127.01836212349885
7,67,0.2435879277391452,2,4500.533749391028,957438.9228871616,1946896.2931122007,POINT (127.01835632985983 37.52038002804826),37.52038002804826,127.01835632985983
7,68,0.211317640531282,1,3904.307499471704,957438.9228871616,1946996.2931122007,POINT (127.01835053596272 37.52128135960132),37.52128135960132,127.01835053596272
7,69,0.1092630805928327,3,2018.746110837952,957438.9228871616,1947096.2931122007,POINT (127.01834474180754 37.52218269101574),37.52218269101574,127.01834474180754
7,70,0.0408435879299943,3,754.6266665645572,957438.9228871616,1947196.2931122007,POINT (127.01833894739427 37.523084022291464),37.523084022291464,127.01833894739427
7,71,0.0501023043808502,4,925.6908332080775,957438.9228871616,1947296.2931122007,POINT (127.01833315272287 37.52398535342854),37.52398535342854,127.01833315272287
7,72,0.0520993419136251,4,962.5881248697516,957438.9228871616,1947396.2931122007,POINT (127.01832735779332 37.52488668442696),37.52488668442696,127.01832735779332
7,73,0.0728515981357495,4,1346.0070831512044,957438.9228871616,1947496.2931122007,POINT (127.01832156260569 37.52578801528669),37.52578801528669,127.01832156260569
7,74,0.0301520113979315,4,557.088958257952,957438.9228871616,1947596.2931122007,POINT (127.01831576715986 37.52668934600777),37.52668934600777,127.01831576715986
7,75,0.0292759618590905,3,540.9030554823656,957438.9228871616,1947696.2931122007,POINT (127.01830997145589 37.52759067659018),37.52759067659018,127.01830997145589
7,76,0.0570193359829625,2,1053.4899998574517,957438.9228871616,1947796.2931122007,POINT (127.01830417549374 37.52849200703392),37.52849200703392,127.01830417549374
7,77,0.0190421222165049,1,351.8224999523933,957438.9228871616,1947896.2931122007,POINT (127.01829837927339 37.52939333733899),37.52939333733899,127.01829837927339
8,62,0.5536662102077103,1,10229.5441652825,957538.9228871616,1946396.2931122007,POINT (127.01951684385612 37.51587797676884),37.51587797676884,127.01951684385612
8,63,0.4223935036128994,2,7804.147915610681,957538.9228871616,1946496.2931122007,POINT (127.01951106485768 37.51677930916436),37.51677930916436,127.01951106485768
8,64,0.3950615713679722,3,7299.162776790125,957538.9228871616,1946596.2931122007,POINT (127.01950528560184 37.5176806414212),37.5176806414212,127.01950528560184
8,65,0.2593870726281665,4,4792.438957684865,957538.9228871616,1946696.2931122007,POINT (127.01949950608852 37.51858197353941),37.51858197353941,127.01949950608852
8,66,0.2231414997318463,3,4122.765277219923,957538.9228871616,1946796.2931122007,POINT (127.01949372631778 37.51948330551895),37.51948330551895,127.01949372631778
