geometry_wkt,building_area_total,building_count
"POLYGON ((957200 1947900, 957200 1948000, 957300 1948000, 957300 1947900, 957200 1947900))",0.0,0
"POLYGON ((957200 1948000, 957200 1948100, 957300 1948100, 957300 1948000, 957200 1948000))",0.0,0
"POLYGON ((957200 1948100, 957200 1948200, 957300 1948200, 957300 1948100, 957200 1948100))",0.0,0
"POLYGON ((957200 1948200, 957200 1948300, 957300 1948300, 957300 1948200, 957200 1948200))",0.0,0
"POLYGON ((957200 1948300, 957200 1948400, 957300 1948400, 957300 1948300, 957200 1948300))",0.0,0
"POLYGON ((957300 1947000, 957300 1947100, 957400 1947100, 957400 1947000, 957300 1947000))",0.0,0
"POLYGON ((957300 1947100, 957300 1947200, 957400 1947200, 957400 1947100, 957300 1947100))",0.0,0
"POLYGON ((957300 1947200, 957300 1947300, 957400 1947300, 957400 1947200, 957300 1947200))",647.64,0
"POLYGON ((957300 1947300, 957300 1947400, 957400 1947400, 957400 1947300, 957300 1947300))",0.0,0
"POLYGON ((957300 1947400, 957300 1947500, 957400 1947500, 957400 1947400, 957300 1947400))",0.0,0
"POLYGON ((957300 1947500, 957300 1947600, 957400 1947600, 957400 1947500, 957300 1947500))",0.0,0
"POLYGON ((957300 1947600, 957300 1947700, 957400 1947700, 957400 1947600, 957300 1947600))",0.0,0
"POLYGON ((957300 1947700, 957300 1947800, 957400 1947800, 957400 1947700, 957300 1947700))",0.0,0
"POLYGON ((957300 1947800, 957300 1947900, 957400 1947900, 957400 1947800, 957300 1947800))",0.0,0
"POLYGON ((957300 1947900, 957300 1948000, 957400 1948000, 957400 1947900, 957300 1947900))",0.0,0
"POLYGON ((957300 1948000, 957300 1948100, 957400 1948100, 957400 1948000, 957300 1948000))",0.0,0
"POLYGON ((957300 1948100, 957300 1948200, 957400 1948200, 957400 1948100, 957300 1948100))",0.0,0
"POLYGON ((957300 1948200, 957300 1948300, 957400 1948300, 957400 1948200, 957300 1948200))",0.0,0
