연번,자치구명,설치위치(도로명 주소),세부 위치,설치 장소 유형,수거 쓰레기 종류,lat1,lon1,snapped_geometry,geometry,lat,lng,grid_x,grid_y
4797,강남구,테헤란로 516,정헌빌딩 앞,도로변(횡단보도 포함),재활용쓰레기,37.5074130305547,127.060079143865,POINT (961106.8175114025 1945472.2492302011),POINT (127.05993836430547 37.507706552193035),37.507706552193035,127.05993836430547,63529,18753
4798,강남구,테헤란로 524,삼성대세빌딩 앞 버스정류장(23-251),"정류소(버스,택시 등)",일반쓰레기,37.5079797927003,127.061595160086,POINT (961244.3392746968 1945524.9598612096),POINT (127.06149155001916 37.50818744013249),37.50818744013249,127.06149155001916,63530,18754
4799,강남구,테헤란로 524,삼성대세빌딩 앞 버스정류장(23-251),"정류소(버스,택시 등)",재활용쓰레기,37.5079797927003,127.061595160086,POINT (961244.3392746968 1945524.9598612096),POINT (127.06149155001916 37.50818744013249),37.50818744013249,127.06149155001916,63530,18754
4800,강남구,테헤란로 610,삼성역1번출구 앞,도로변(횡단보도 포함),일반쓰레기,37.5088229113126,127.064541844422,POINT (961504.6468269554 1945620.2035131836),POINT (127.06443178401156 37.509056805514184),37.509056805514184,127.06443178401156,63532,18754
4801,강남구,테헤란로 610,삼성역2번출구 앞,도로변(횡단보도 포함),재활용쓰레기,37.5088229113126,127.064541844422,POINT (961504.6468269554 1945620.2035131836),POINT (127.06443178401156 37.509056805514184),37.509056805514184,127.06443178401156,63532,18754
4802,강남구,테헤란로 626,메디톡스빌딩,도로변(횡단보도 포함),일반쓰레기,37.5093582455389,127.066406933258,POINT (961667.9056984381 1945683.7801763327),POINT (127.06627566545808 37.50963664406566),37.50963664406566,127.06627566545808,63533,18754
4803,강남구,테헤란로 626,메디톡스빌딩,도로변(횡단보도 포함),재활용쓰레기,37.5093582455389,127.066406933258,POINT (961667.9056984381 1945683.7801763327),POINT (127.06627566545808 37.50963664406566),37.50963664406566,127.06627566545808,63533,18754
4804,강남구,테헤란로114길 11,강남경찰서 앞 버스정류장(23-243),"정류소(버스,택시 등)",일반쓰레기,37.5093666837584,127.067099927292,POINT (961775.3727940681 1945657.770221275),POINT (127.06749296728638 37.50940666465472),37.50940666465472,127.06749296728638,63533,18754
4805,강남구,테헤란로114길 11,강남경찰서 앞 버스정류장(23-243),"정류소(버스,택시 등)",재활용쓰레기,37.5093666837584,127.067099927292,POINT (961775.3727940681 1945657.770221275),POINT (127.06749296728638 37.50940666465472),37.50940666465472,127.06749296728638,63533,18754
4806,강남구,역삼로 315,SK뷰아파트상가 버스정류장(23-598),"정류소(버스,택시 등)",일반쓰레기,37.5005551755633,127.050314621923,POINT (960258.0805810735 1944669.5590472873),POINT (127.0503788857456 37.500435433099696),37.500435433099696,127.0503788857456,63525,18750
