index,grid_id,place_id,name,category,lat,lon
329,99,1543104174,미니달아 신사동가로수길점,카페,37.51800648,127.0199809
331,99,2051262862,핑코,카페,37.51800828,127.0200047
355,100,1262079557,송쉐프 본점,음식점,37.51930038,127.0196148
356,100,1059348837,야키니쿠규,음식점,37.51895442,127.0194903
357,100,545951940,신사꽃게당,음식점,37.51940488,127.0197166
358,100,1390828006,신비갈비살 본점,음식점,37.519121,127.0201215
359,100,103781687,청자매운소돼지갈비찜,음식점,37.51911657,127.0196736
360,100,1618929112,날리,음식점,37.51915258,127.0198184
361,100,18052112,러쉬바,음식점,37.51897957,127.019936
363,100,21720110,퀸실내포차,음식점,37.51876333,127.0199314
364,100,1184099725,아로보서울,음식점,37.51912558,127.0196317
365,100,16587015,원조옛날순대전문점,음식점,37.51907327,127.0199993
366,100,1108576475,신사그라제,음식점,37.51864799,127.0199992
367,100,795694316,초코동,음식점,37.51891563,127.0197753
368,100,1928726261,피키오,음식점,37.51910756,127.0196871
369,100,2121406280,서리달,음식점,37.51912377,127.0196871
370,100,1906932518,숨후카바,음식점,37.5186525,127.0200049
372,100,1382945760,칠링 신사,음식점,37.51869302,127.0201395
373,100,1124689656,재즈잇업,음식점,37.51887141,127.0201859
374,100,598254031,중식포차,음식점,37.51934003,127.0196148
375,100,172904464,빈스드림,카페,37.51917514,127.01966
385,101,107987969,예술가방,문화시설,37.51987336,127.0199543
408,102,12296285,GS25 신사강남점,편의점,37.52109879,127.0195972
414,102,2041523416,개오망크리에이티브스튜디오,문화시설,37.5209465,127.0197272
419,102,23203958,김북순큰남비집 신사본점,음식점,37.52067798,127.0198561
420,102,1416620404,카이센동우니도 신사본점,음식점,37.52062571,127.0198923
421,102,118191587,직화장인 신사점,음식점,37.52069333,127.0196095
422,102,485505101,이목스모크다이닝,음식점,37.52114839,127.0193076
423,102,1092032176,트라가 가로수길점,음식점,37.52050411,127.0196649
424,102,2081009536,게집,음식점,37.52108344,127.019751
425,102,21237816,알집모닝메이트,음식점,37.52073031,127.0194138
426,102,1206870141,복자네대박났네,음식점,37.52074562,127.0194296
428,102,26572826,김치&보쌈,음식점,37.52073472,127.0199726
429,102,1848228515,그레이그리스트밀,카페,37.52066264,127.0199387
430,102,1528013748,소르비,카페,37.5209474,127.0197283
437,103,643478986,퍼니처 아트 갤러리,문화시설,37.52212952,127.0196608
442,103,17266666,까사밀 레스토랑,음식점,37.52216558,127.0195545
444,103,22109074,캘리포니아호프치킨,음식점,37.52187631,127.0198508
446,103,488323017,라까사호텔 서울 호아,음식점,37.52214035,127.0195477
447,103,760661261,보나로,음식점,37.52164386,127.0198247
449,103,713711124,로이신사,음식점,37.52164657,127.0197738
450,103,49553465,타스,음식점,37.52163214,127.0198462
451,103,1074524542,떡볶이까페겁,음식점,37.52187,127.0198824
462,104,410680676,북스테이지,음식점,37.52236018,127.0196722
463,104,1539942176,호아 가로수길,음식점,37.52236018,127.0196608
464,106,2078342965,CU 압구정미성점,편의점,37.52428118,127.0192677
475,106,1179137932,미우,음식점,37.52482173,127.0196015
476,106,173316874,매란방 압구정점,음식점,37.52434964,127.0193616
477,106,21353178,홍종흔베이커리 압구정점,음식점,37.52434064,127.0193152
478,106,26935247,이명환 오메기랑떡이랑,음식점,37.52477488,127.01958
479,106,8732622,강남떡집,음식점,37.52467034,127.0197248
480,106,1414200989,압구정오리,음식점,37.52464691,127.0197395
481,106,23406165,비앤에스에프앤비,음식점,37.52434604,127.019331
482,106,143802003,헤리턴스카페 압구정점,카페,37.52466224,127.0196954
485,106,1576194639,연두약국,약국,37.52440822,127.0192654
486,106,10414078,미성약국,약국,37.52459468,127.0195664
503,107,379454398,비키갤러리,문화시설,37.52485142,127.0198402
508,107,1045698160,미성백반,음식점,37.52478925,127.0198493
511,107,1756423816,압구정에프앤씨,음식점,37.52489018,127.0197554
513,107,20059498,틸트보드까페,카페,37.52486134,127.0197927
516,121,26153884,CU 잠원성한점,편의점,37.51161646,127.020581
529,121,1823825410,고깃집열 논현역점,음식점,37.51153902,127.020314
530,121,1927190075,채쉐프,음식점,37.51205234,127.0217076
531,121,1683036658,원더시티뉴욕컵케이크,음식점,37.51168568,127.0214372
532,121,1070254243,강씨가문의족발 논현점,음식점,37.51239837,127.021468
533,121,1650816351,라운지많,음식점,37.51204873,127.0217348
534,121,631096811,조선소고기,음식점,37.51153902,127.020314
535,121,10860331,하이호프광장,음식점,37.51154802,127.0203366
536,121,390191997,논현김밥,음식점,37.51129116,127.0207924
537,121,26410041,스타벅스 논현역점,카페,37.51143987,127.0205402
538,121,1071474205,커피빈 논현역8번출구점,카페,37.51201922,127.0205121
539,121,503592019,미스콩샌드커피,카페,37.51177504,127.0205403
540,121,599060127,이시스커피,카페,37.51201089,127.0217585
575,122,2023829447,CU 논현역드림점,편의점,37.51278951,127.0209229
583,122,27376325,바베네,음식점,37.51287235,127.0211966
585,122,933141116,케이웍 논현동점,음식점,37.51263801,127.0216038
586,122,501996153,컬러풀,음식점,37.51287415,127.0211966
587,122,21359574,강남웨딩 출장부페,음식점,37.51288136,127.0212147
588,122,1568813321,케이웍,음식점,37.51265964,127.0215789
600,123,16330125,세븐일레븐 논현학나래점,편의점,37.51316604,127.0214048
626,123,467840260,페페신사,음식점,37.51367449,127.0197762
627,123,97370963,본가마순대국,음식점,37.51334085,127.0213212
628,123,7974996,스타벅스 신사역성일빌딩점,카페,37.51393383,127.0206223
629,123,947570803,카페33,카페,37.51365625,127.0210295
630,123,794827557,주식회사 푸른통상 카페신사,카페,37.51367359,127.0197762
636,124,19207895,CU 신사렉스점,편의점,37.51439519,127.0204053
656,124,26781713,에이루트,문화시설,37.5142833,127.0213328
662,124,980076754,인량 훠궈,음식점,37.51401662,127.0212286
663,124,1772878695,퀴즈노스 신사위워크점,음식점,37.51420053,127.0206134
664,124,334915792,신사우동,음식점,37.51473758,127.0203319
665,124,1254480155,블루스하우스,음식점,37.51488252,127.0210162
667,124,2133427173,블랙카페,카페,37.51488252,127.0210162
694,124,1411865692,민트약국,약국,37.5144988,127.0203827
708,125,25040567,부산아구,음식점,37.51579349,127.0207179
710,125,1214127533,향방,음식점,37.51576466,127.0207088
713,125,1068841095,진,음식점,37.51560338,127.0207031
714,125,1029907935,부산집,음식점,37.51577907,127.0207043
756,126,17056593,GS25 논현행운점,편의점,37.51602413,127.0208175
777,126,1719987589,아구본가첨벙 신사본점,음식점,37.51584571,127.0209147
778,126,1289286666,김가네황금구이가,음식점,37.51584391,127.0209351
779,126,902200401,평안도식당 신사점,음식점,37.51603855,127.0207971
790,126,26395435,스타벅스 신사역점,카페,37.51622596,127.0207677
840,126,25817808,트리플약국,약국,37.51615932,127.0205754
841,127,566232569,CU 신사성환점,편의점,37.51708735,127.0206277
862,127,791775664,천미미,음식점,37.51733246,127.0203835
864,127,27390693,응수수산,음식점,37.51746576,127.0206505
867,127,1866857586,롱타임노씨 신사점,음식점,37.51742702,127.020655
868,127,228973634,돼봉삼겹살 신사점,음식점,37.5173864,127.0210961
870,127,875073447,도톤보리 서울,음식점,37.5171504,127.020699
872,127,8313417,배제현의웰빙 낙지한마리수제비 강남신사본점,음식점,37.51751616,127.0209717
873,127,1114352509,닭한마리감자탕 신사본점,음식점,37.51715942,127.0206775
875,127,1526832757,무쇠김치삼겹 신사점,음식점,37.51737929,127.0204966
876,127,9824246,북경반점,음식점,37.51720895,127.0208076
877,127,973006164,청담동 순도리 신사점,음식점,37.51744054,127.0206437
879,127,372391352,바다를훔친언니,음식점,37.51758024,127.0203892
880,127,1750513173,배가네목포집,음식점,37.51729631,127.0210282
883,127,361574711,인쌩맥주 신사역점,음식점,37.51732244,127.0209852
888,127,598221418,신사마차,음식점,37.51733236,127.0209717
889,127,1990083457,상하이블룸 신사점,음식점,37.51747654,127.020836
890,127,2067255601,몬스터홀덤펍,음식점,37.51749817,127.0208054
894,127,1116796950,도리연닭도리탕,음식점,37.5173927,127.0210984
898,127,1445600338,소일젤라또,음식점,37.51701433,127.0208505
903,127,573794987,빅스텍,음식점,37.51744053,127.020655
906,127,346120937,에스에이치더힐,음식점,37.51740542,127.0205
907,127,1904517202,홈즈앤루팡 신사가로수길점,카페,37.51737929,127.0205011
908,127,100026790,카페로얄마카롱 신사역점,카페,37.51715495,127.0204513
913,127,1890578840,쁘아송 신사점,카페,37.51701162,127.0208494
914,127,21414397,델타카페,카페,37.51688915,127.0204965
962,127,1153678451,가나안약국,약국,37.51701162,127.0208494
963,127,1021944500,아이디약국,약국,37.51696119,127.0206899
965,127,12117430,신사약국,약국,37.51686752,127.0205281
980,128,15400439,아이피티,문화시설,37.51815412,127.0206959
981,128,370941282,에이치앤이기획,문화시설,37.51782969,127.0210894
987,128,7847225,동인동,음식점,37.51807849,127.0203927
994,128,8105143,e청우참치,음식점,37.51817125,127.0206631
995,128,2057523686,크라운돼지,음식점,37.51852177,127.0204698
996,128,1277515634,치보 강남신사점,음식점,37.51801444,127.0208293
998,128,27252553,순정족발 신사본점,음식점,37.51811802,127.0210624
1001,128,590679717,스시소기,음식점,37.51801444,127.0208293
1002,128,17665721,자주식당,음식점,37.51841003,127.0205421
1003,128,24008760,전주현대옥 신사가로수길점,음식점,37.51813433,127.0205364
1004,128,20752071,두사라,음식점,37.517801,127.0203112
1008,128,24766095,영동소금구이 신사점,음식점,37.51833077,127.0204109
1010,128,13496046,뻘,음식점,37.5179811,127.0208621
1013,128,936033187,신사교자냉삼,음식점,37.51764769,127.0210622
1014,128,732944840,낭낙,음식점,37.51841004,127.0205319
1018,128,26870059,낭만옵빠 신사점,음식점,37.51821186,127.0202751
1019,128,24709876,피그닉,음식점,37.51843252,127.020757
1021,128,868391417,복싱타이거,음식점,37.51822988,127.0202661
1024,128,1192803161,미몽 신사역점,음식점,37.51800636,127.02068
1025,128,176615415,백소정 강남신사점,음식점,37.51758284,127.020957
1026,128,980776221,고우 신사점,음식점,37.5181091,127.0205273
1028,128,140005260,맹그르브삼겹살 2호점,음식점,37.51763868,127.0210736
1029,128,2009273450,호야,음식점,37.51842171,127.0207254
1031,128,1027198862,에이쓰리바우트커피,카페,37.51798023,127.0207038
1032,128,891042256,누베이스,카페,37.51822798,127.0208237
1033,128,70070354,플롭,카페,37.51786032,127.0210951
1038,128,21414775,마농,카페,37.51831995,127.0204335
1039,128,429160481,썸 라이브바,카페,37.51812532,127.0205285
1040,128,659845676,할로비치,카페,37.51821086,127.020826
1062,129,1675445898,마크앤스페이스 신사점,문화시설,37.51914248,127.0209179
1063,129,24931414,아트스페이스남케이,문화시설,37.51895414,127.0210988
1068,129,10917492,해남집,음식점,37.51935074,127.0201804
1069,129,2136148310,우와 신사점,음식점,37.51915251,127.0202708
1070,129,12637514,딸부자네불백 신사본점,음식점,37.51930563,127.0205311
1074,129,267115983,돈불리제담,음식점,37.51877491,127.0207176
1080,129,1159737893,대봉칼국수보쌈,음식점,37.51877402,127.0206689
1081,129,459883444,삼바리,음식점,37.5187668,127.0206915
1082,129,1041199912,육회담,음식점,37.5191074,127.0205762
1083,129,790278676,키보 재즈킷사,음식점,37.51922005,127.0204349
1084,129,96205221,넛츠비어 가로수길직영점,음식점,37.51917492,127.0209247
1085,129,843077664,솔솥 신사점,음식점,37.5187451,127.0211655
1088,129,646890643,금별맥주 강남신사점,음식점,37.51872978,127.0211666
1091,129,1171238408,조선펍차 신사본점,음식점,37.51881004,127.0207492
1092,129,966956330,올디스타코 신사점,음식점,37.51925603,127.0208229
1093,129,420158801,플라워아티장베이커리 가로수,음식점,37.5189181,127.0211078
1097,129,386557127,등촌샤브칼국수 신사가로수길점,음식점,37.51877401,127.0207323
1100,129,868985255,강남실비횟집,음식점,37.51878932,127.0207424
1102,129,1820098242,장흥집 신사점,음식점,37.51855413,127.0209143
1103,129,1480728090,담소소사골순대육개장 신사1호점,음식점,37.51869289,127.0208759
1104,129,2099323174,매드하우스 바이 옥토버훼스트,음식점,37.51917492,127.0209247
1109,129,19802716,본도시락 신사역점,음식점,37.51948582,127.0206216
1110,129,703712454,켘켘,음식점,37.5187803,127.020782
1111,129,1785536960,나따오비까 신사점,카페,37.51936868,127.0206781
1112,129,815154481,플라워베이커리 가로수길점,카페,37.5189217,127.0211033
1113,129,1733612467,이치서울,카페,37.51927139,127.0205288
1114,129,1464740025,컴포즈커피 강남시장점,카페,37.51878572,127.0207526
1117,129,21571775,더블드립커피,카페,37.51936868,127.0206872
1127,130,1826758447,신사하우스,문화시설,37.52040484,127.0206332
1135,130,1402068738,정돈 신사점,음식점,37.51975064,127.0210447
1136,130,479540433,우오하나,음식점,37.5198913,127.0204249
1138,130,18324313,미미면가 본점,음식점,37.52005336,127.0211036
1140,130,1332784474,딩딤1968,음식점,37.51996329,127.0209385
1142,130,483480462,타코앤칠리,음식점,37.51978767,127.0205074
1145,130,643708043,멘츠루 신사점,음식점,37.52025084,127.0201886
1146,130,204763804,애시드하우스,음식점,37.51993641,127.0200935
1147,130,1021627981,교텐,음식점,37.51988406,127.020633
1149,130,1947749247,소각,음식점,37.51958051,127.0201182
1153,130,1473026211,파랑해녀집 신사점,음식점,37.51963904,127.0203162
1154,130,2050553837,투올더드리머스,음식점,37.5198048,127.0204916
1156,130,524009805,문빔와인스튜디오,음식점,37.51960304,127.02009
1158,130,459715402,나항,음식점,37.5195489,127.0205594
1159,130,789634232,타츠야,음식점,37.51924256,127.020565
1160,130,1352502434,세상의모든바베큐,음식점,37.51949299,127.0208456
1161,130,269130868,신사랑,음식점,37.51952187,127.0205741
1162,130,1506111467,스위시 신사점,음식점,37.52000665,127.0203152
1163,130,565306379,스택,음식점,37.51926052,127.0209043
1164,130,208235840,쉘위댄스,음식점,37.51922457,127.020384
1165,130,1626611035,다래케이크,음식점,37.52010754,127.0204408
1166,130,1887849250,대복우육면,음식점,37.52021571,127.0201806
1167,130,222306115,청년도야지,음식점,37.51913442,127.0206373
1169,130,280071417,당옥,카페,37.52008952,127.0204634
1172,130,880411321,팬케이크샵 가로수길점,카페,37.52022201,127.0201818
1173,130,221287732,티이,카페,37.51999764,127.0203163
1174,130,617391608,타프 에스프레소바,카페,37.51956692,127.0205764
1175,130,1605217319,카페구오,카페,37.51956151,127.0205945
1176,130,1840779900,타만타,카페,37.52039492,127.0206501
